Code,Description,Work Type,Labor Hours,FRT
12051306,Sill Plate - Illuminated - Front - Pair (Retrofit),Retrofit,0.3,0.3
12052006,Paint Protection Film - Rocker Panels (Retrofit),Retrofit,0.24,0.24
12052007,Paint Protection Film - Remove,Modify,0.6,0.6
12059565,China Rear Badge - Badges - Badges and Films - LH (Remove and Replace),Remove and Replace,0.24,0.24
12070101,Bracket - License Plate - Front (Remove & Install),Remove and Install,0.1,0.1
12070102,Bracket - License Plate - Front (Remove & Replace),Remove and Replace,0.12,0.12
12070106,Bracket - License Plate - Front (Retrofit),Retrofit,0.12,0.12
12070116,Bracket - License Plate - Front (EMEA) (Retrofit using Template),Retrofit,0.12,0.12
12070126,Bracket - License Plate - Front (EMEA) (Retrofit using Jig),Retrofit,0.12,0.12
12070206,Install Tesla License Plate Frame,Installation,0.06,0.06
12071001,License Plates (Install Onto Existing Brackets),Installation,0.06,0.06
12072301,Bracket - License Plate - Rear (EMEA and APAC) (Remove & Install),Remove and Install,0.05,0.05
12072302,Bracket - License Plate - Rear (EMEA and APAC) (Remove & Replace),Remove and Replace,0.06,0.06
12072306,Bracket - License Plate - Rear (Retrofit),Retrofit,0.06,0.06
12072311,Bracket - License Plate - Rear (NA) (Remove & Install),Remove and Install,0.06,0.06
