id,code,name,workType,modelID,modelName,frt,chargedHours,procedureURL
37376,10011142,Rear Door RH Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,36,2025+ Model Y,1.34,1.34,
37377,10011143,Rear Door RH Replacement And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.6,0.6,
37378,10011144,Rear Door RH Replacement And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.57,0.57,
37379,10011145,Rear Door RH Replacement And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.67,0.67,
37380,10011146,Rear Door RH Replacement And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.46,0.46,
37383,10011147,Rear Door RH Removal Refit And Paint-CN Only,Paint Work,36,2025+ Model Y,4.27,4.27,
37384,10011148,Rear Door RH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,36,2025+ Model Y,1.38,1.38,
37385,10011149,Rear Door RH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.48,0.48,
37386,10011150,Rear Door RH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.47,0.47,
37387,10011151,Rear Door RH Removal Refit And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.84,0.84,
37388,10011152,Rear Door RH Removal Refit And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.58,0.58,
37389,10011153,Quarter Outer Skin LH Removal Refit And Paint-CN Only,Paint Work,36,2025+ Model Y,3.85,3.85,
37390,10011154,Quarter Outer Skin LH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,36,2025+ Model Y,0.96,0.96,
37391,10011155,Quarter Outer Skin LH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,36,2025+ Model Y,0.48,0.48,
37392,10011156,Quarter Outer Skin LH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,36,2025+ Model Y,0.47,0.47,
37393,10011157,Quarter Outer Skin LH Removal Refit And Paint - Painting-CN Only,Paint Work,36,2025+ Model Y,0.84,0.84,
37394,10011158,Quarter Outer Skin LH Removal Refit And Paint - Polishing-CN Only,Paint Work,36,2025+ Model Y,0.58,0.58,
37395,10011159,Quarter Outer Skin RH Removal Refit And Paint-CN Only,Paint Work,36,2025+ Model Y,3.36,3.36,
