Code,Description,Work Type,Labor Hours,FRT
32051202,Shroud - Lower - Steering Column (Remove & Replace),Remove and Replace,0.6,0.6
32051801,Round Steering Wheel (Remove & Install),Remove and Install,0.12,0.12
32051802,Round Steering Wheel (Remove & Replace),Remove and Replace,0.18,0.18
32051831,Steering Yoke (Remove & Install),Remove and Install,0.15,0.15
32051832,Steering Yoke (Remove & Replace),Remove and Replace,0.18,0.18
32051846,Touch Horn Steering Yoke to Mechanical Horn Steering Yoke,Retrofit,0.18,0.18
32051901,Steering Column (Remove & Install),Remove and Install,1.74,1.74
32051902,Steering Column (Remove & Replace),Remove and Replace,1.74,1.74
32052506,Heated Steering Wheel Retrofit,Retrofit,0.0,0.0
33000004,Diagnosis: Brake System,General Diagnosis,0.5,0.5
33010100,Brake Rotor - Front - LH (Measure Runout),Test/Adjust,0.35,0.35
33010101,Brake Rotor - Front - LH (Remove & Install),Remove and Install,0.35,0.35
33010102,Brake Rotor - Front - LH (Remove & Replace),Remove and Replace,0.24,0.24
33010200,Brake Rotor - Rear - LH (Measure Runout),Test/Adjust,0.36,0.36
33010201,Brake Rotor - Rear - LH (Remove & Install),Remove and Install,0.4,0.4
33010202,Brake Rotor - Rear - LH (Remove & Replace),Remove and Replace,0.3,0.3
33010301,Brake Caliper - Front - LH (Remove & Install),Remove and Install,0.6,0.6
33010302,Brake Caliper - Front - LH (Remove & Replace),Remove and Replace,0.72,0.72
33010401,Brake Caliper - Front - RH (Remove & Install),Remove and Install,0.6,0.6
33010402,Brake Caliper - Front - RH (Remove & Replace),Remove and Replace,0.72,0.72
33010501,Brake Caliper - Rear - LH - Brembo (Remove & Install),Remove and Install,0.8,0.8
33010502,Brake Caliper - Rear - LH - Brembo (Remove & Replace),Remove and Replace,0.96,0.96
33010511,Brake Caliper - Rear - LH (Remove & Install),Remove and Install,0.5,0.5
33010512,Brake Caliper - Rear - LH (Remove & Replace),Remove and Replace,0.6,0.6
33010601,Brake Caliper - Rear - RH - Brembo (Remove & Install),Remove and Install,0.8,0.8
33010602,Brake Caliper - Rear - RH - Brembo (Remove & Replace),Remove and Replace,0.96,0.96
33010611,Brake Caliper - Rear - RH (Remove & Install),Remove and Install,0.5,0.5
33010612,Brake Caliper - Rear - RH (Remove & Replace),Remove and Replace,0.6,0.6
33010701,Brake Pads - Front - Set (Remove & Install),Remove and Install,0.66,0.66
33010702,Brake Pads - Front - Set (Remove & Replace),Remove and Replace,0.6,0.6
33010732,Brake Pads - Front (Ceramic Brakes),Remove and Replace,0.9,0.9
33010742,Brake Pads - Rear (Ceramic Brakes),Remove and Replace,1.02,1.02
33010801,Brake Pads - Rear - Set (Remove & Install),Remove and Install,0.8,0.8
33010802,Brake Pads - Rear - Set (Remove & Replace),Remove and Replace,0.6,0.6
33010804,Brake Pads - Rear - Set - Mando ,Remove and Replace,1.2,1.2
33010812,Brake Pads - Rear - Set - Mando (Remove & Replace),Remove and Replace,1.2,1.2
33010901,Brake Caliper - Rear - LH - (Remove & Install),Remove and Install,0.5,0.5
33010902,Brake Caliper - Rear - LH - (Remove & Replace),Remove and Replace,0.6,0.6
33010905,Brake Pads and Rotors - Front - Set,Remove and Replace,1.02,1.02
33010911,Brake Caliper - Rear - RH - (Remove & Install),Remove and Install,0.5,0.5
33010912,Brake Caliper - Rear - RH - (Remove & Replace),Remove and Replace,0.6,0.6
33011005,Brake Pads and Rotors - Rear - Set,Remove and Replace,1.14,1.14
33011100,Brake Rotor - Front - RH (Measure Runout),Test/Adjust,0.35,0.35
33011101,Brake Rotor - Front - RH (Remove & Install),Remove and Install,0.35,0.35
33011102,Brake Rotor - Front - RH (Remove & Replace),Remove and Replace,0.24,0.24
33011200,Brake Rotor - Rear - RH (Measure Runout),Test/Adjust,0.3,0.3
33011201,Brake Rotor - Rear - RH (Remove & Install),Remove and Install,0.4,0.4
33011202,Brake Rotor - Rear - RH (Remove & Replace),Remove and Replace,0.3,0.3
33011301,Brake Rotors - Front - Set (Remove & Install),Remove and Install,0.65,0.65
33011302,Brake Rotors - Front - Set (Remove & Replace),Remove and Replace,0.42,0.42
33011401,Brake Rotors - Rear - Set (Remove & Install),Remove and Install,0.65,0.65
33011402,Brake Rotors - Rear - Set (Remove & Replace),Remove and Replace,0.42,0.42
33011505,Brake Pads and Rotors - Vehicle - Set,Remove and Replace,1.98,1.98
33011601,Shield - Dust - Brake - Front - LH (Remove & Install),Remove and Install,0.55,0.55
33011602,Shield - Dust - Brake - Front - LH (Remove & Replace),Remove and Replace,0.6,0.6
33011701,Shield - Dust - Brake - Front - RH (Remove & Install),Remove and Install,0.55,0.55
