Universal,Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
NO,Model X,19,15184502,Trim - A-Pillar - Sun Visor Bezel - RH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,15184602,Magnet - A-Pillar - Sun Visor Bezel - LH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,15184702,Magnet - A-Pillar - Sun Visor Bezel - RH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,15185002,Footrest - Driver's (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model X,19,15185402,Trim - C-Pillar - Mid - LH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,15185502,Trim - C-Pillar - Mid - RH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,15185802,Trim - C-Pillar - Lower - LH (Remove & Replace),Remove and Replace,0.24,0.24
NO,Model X,19,15185902,Trim - C-Pillar - Lower - RH (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model X,19,15186002,Trim - C-Pillar - Upper - LH (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model X,19,15186102,Trim - C-Pillar - Upper - RH (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model X,19,15186202,Support - Parcel Shelf - LH (Remove & Replace),Remove and Replace,0.42,0.42
NO,Model X,19,15186302,Support - Parcel Shelf - RH (Remove & Replace),Remove and Replace,0.3,0.3
NO,Model X,19,15187102,Racetrack Trim - Lower - LH (Remove & Replace),Remove and Replace,0.3,0.3
NO,Model X,19,15187202,Racetrack Trim - Lower - RH (Remove & Replace),Remove and Replace,0.3,0.3
NO,Model X,19,15187502,Racetrack Trim - Rear - LH (Remove & Replace),Remove and Replace,0.48,0.48
NO,Model X,19,15187602,Racetrack Trim - Rear - RH (Remove & Replace),Remove and Replace,0.48,0.48
NO,Model X,19,15187702,Racetrack Trim - Upper - LH (Remove & Replace),Remove and Replace,0.72,0.72
NO,Model X,19,15187802,Racetrack Trim - Upper - RH (Remove & Replace),Remove and Replace,1.5,1.5
NO,Model X,19,15189102,Bezel - Striker - Racetrack - LH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,15189202,Bezel - Striker - Racetrack - RH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,15190012,Phone Dock - Center Console (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model X,19,15190062,Panel - Service - Center Console (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model X,19,15190072,Trim - USB Port - Rear - Center Console (Remove & Replace),Remove and Replace,0.24,0.24
NO,Model X,19,15190102,Center Console (Remove & Replace),Remove and Replace,0.54,0.54
NO,Model X,19,15190502,Air Outlet - Center Console (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,15190612,Switch - Lid - Center Console (Remove & Replace),Remove and Replace,0.54,0.54
NO,Model X,19,15191102,Closeout Extension - Center Console - LH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,15191202,Closeout Extension - Center Console - RH (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,15191702,Base - Armrest - Center Console (Remove & Replace),Remove and Replace,0.84,0.84
NO,Model X,19,15192002,Trim - Center Console - Rear (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,15192402,Center Console Assembly (Remove & Replace),Remove and Replace,0.54,0.54
NO,Model X,19,15192512,Armrest - Center Console (Remove & Replace),Remove and Replace,0.66,0.66
NO,Model X,19,15192802,USB Hub - Center Console (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model X,19,15193002,Trim - Armrest - Center Console (Remove & Replace),Remove and Replace,0.84,0.84
NO,Model X,19,15193502,Phone Dock Adapter (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,15195202,Panel - Lower Rear - Center Console (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model X,19,15204302,Coat Hook - Rear - LH (Remove & Replace),Remove and Replace,0.42,0.42
NO,Model X,19,15204402,Coat Hook - Rear - RH (Remove & Replace),Remove and Replace,0.42,0.42
NO,Model X,19,15240042,Tie Down - Rear Trunk - RH (Remove & Replace),Remove and Replace,0.6,0.6
NO,Model X,19,15240052,Tie Down - Rear Trunk - LH (Remove & Replace),Remove and Replace,0.6,0.6
NO,Model X,19,15244802,Trim - Sill - Trunk (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model X,19,15245402,Carpet - Rear Trunk (5 Seat) (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model X,19,15245412,Carpet - Rear Trunk (7 Seat) (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,15245602,Trim - Rear Trunk - Rear Wall (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model X,19,15300022,Trim - Crush Can - Rear Trunk - LH (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model X,19,15300032,Carpet - Podium (Remove & Replace),Remove and Replace,1.26,1.26
NO,Model X,19,15301012,Support - Carpet - Driver (Remove & Replace),Remove and Replace,0.66,0.66
NO,Model X,19,15301402,Trim - Crush Can - Rear Trunk - RH (Remove and Replace),Remove and Replace,0.18,0.18
NO,Model X,19,15301602,Floor Mat - 2nd Row (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,15301902,Floor Mat Set (Remove & Replace),Remove and Replace,0.06,0.06
NO,Model X,19,15302402,Floor Panel - 1st Row (Remove & Replace),Remove and Replace,2.04,2.04
NO,Model X,19,15302502,Carpet - 1st Row (Remove & Replace),Remove and Replace,2.04,2.04
NO,Model X,19,15303022,Floor Panel - Middle - 2nd Row (6 Seat) (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model X,19,15303032,Floor Panel - Rear - 2nd Row (6 Seat) (Remove & Replace),Remove and Replace,0.6,0.6
NO,Model X,19,15303042,Floor Panel - Rear - 2nd Row (5 Seat) (Remove & Replace),Remove and Replace,0.18,0.18
NO,Model X,19,15303052,Floor Panel - Mid - 2nd Row (5 Seat) (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model X,19,15303062,Floor Panel - Rear - 2nd Row (7 Seat) ( Remove & Replace),Remove and Replace,0.6,0.6
NO,Model X,19,15303072,Floor Panel - Mid - 2nd Row (7 Seat) (Remove & Replace),Remove and Replace,0.12,0.12
NO,Model X,19,15303102,Floor Panel - 2nd Row - Middle (Remove & Replace),Remove and Replace,0.42,0.42
NO,Model X,19,15303108,Floor Panel - 2nd Row - Middle,Restore,0.42,0.42
