Model,Model_ID,Code,Description,Work_Type,Labor_Hours,FRT
Model 3,35,10011120,Front Door RH Replacement And Paint - Sealer Sanding-CN Only,Refinish,0.54,0.54
Model 3,35,10011123,Front Door RH Removal Refit And Paint-CN Only,Paint Work,3.14,3.14
Model 3,35,10011124,Front Door RH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,1.06,1.06
Model 3,35,10011125,Front Door RH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.39,0.39
Model 3,35,10011126,Front Door RH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,0.39,0.39
Model 3,35,10011127,Front Door RH Removal Refit And Paint - Painting-CN Only,Paint Work,0.8,0.8
Model 3,35,10011128,Front Door RH Removal Refit And Paint - Polishing-CN Only,Paint Work,0.5,0.5
Model 3,35,10011129,Rear Door LH Replacement And Paint-CN Only,Paint Work,3.98,3.98
Model 3,35,10011130,Rear Door LH Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,1.48,1.48
Model 3,35,10011131,Rear Door LH Replacement And Paint - Sealer Spary-CN Only,Refinish,0.66,0.66
Model 3,35,10011132,Rear Door LH Replacement And Paint - Sealer Sanding-CN Only,Refinish,0.64,0.64
Model 3,35,10011133,Rear Door LH Replacement And Paint - Painting-CN Only,Paint Work,0.7,0.7
Model 3,35,10011134,Rear Door LH Replacement And Paint - Polishing-CN Only,Paint Work,0.5,0.5
Model 3,35,10011135,Rear Door LH Removal Refit And Paint-CN Only,Paint Work,3.02,3.02
Model 3,35,10011136,Rear Door LH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,1.14,1.14
Model 3,35,10011137,Rear Door LH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.34,0.34
Model 3,35,10011138,Rear Door LH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,0.34,0.34
Model 3,35,10011139,Rear Door LH Removal Refit And Paint - Painting-CN Only,Paint Work,0.7,0.7
Model 3,35,10011140,Rear Door LH Removal Refit And Paint - Polishing-CN Only,Paint Work,0.5,0.5
Model 3,35,10011141,Rear Door RH Replacement And Paint-CN Only,Paint Work,3.98,3.98
Model 3,35,10011142,Rear Door RH Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,1.48,1.48
Model 3,35,10011143,Rear Door RH Replacement And Paint - Sealer Spary-CN Only,Refinish,0.66,0.66
Model 3,35,10011144,Rear Door RH Replacement And Paint - Sealer Sanding-CN Only,Refinish,0.64,0.64
Model 3,35,10011145,Rear Door RH Replacement And Paint - Painting-CN Only,Paint Work,0.7,0.7
Model 3,35,10011146,Rear Door RH Replacement And Paint - Polishing-CN Only,Paint Work,0.5,0.5
Model 3,35,10011147,Rear Door RH Removal Refit And Paint-CN Only,Paint Work,3.02,3.02
Model 3,35,10011148,Rear Door RH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,1.14,1.14
Model 3,35,10011149,Rear Door RH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.34,0.34
Model 3,35,10011150,Rear Door RH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,0.34,0.34
Model 3,35,10011151,Rear Door RH Removal Refit And Paint - Painting-CN Only,Paint Work,0.7,0.7
Model 3,35,10011152,Rear Door RH Removal Refit And Paint - Polishing-CN Only,Paint Work,0.5,0.5
Model 3,35,10011153,Quarter Outer Skin LH Removal Refit And Paint-CN Only,Paint Work,2.79,2.79
Model 3,35,10011154,Quarter Outer Skin LH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,0.3,0.3
Model 3,35,10011155,Quarter Outer Skin LH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.5,0.5
Model 3,35,10011156,Quarter Outer Skin LH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,0.49,0.49
Model 3,35,10011157,Quarter Outer Skin LH Removal Refit And Paint - Painting-CN Only,Paint Work,0.9,0.9
Model 3,35,10011158,Quarter Outer Skin LH Removal Refit And Paint - Polishing-CN Only,Paint Work,0.6,0.6
Model 3,35,10011159,Quarter Outer Skin RH Removal Refit And Paint-CN Only,Paint Work,2.79,2.79
Model 3,35,10011160,Quarter Outer Skin RH Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,0.3,0.3
Model 3,35,10011161,Quarter Outer Skin RH Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.5,0.5
Model 3,35,10011162,Quarter Outer Skin RH Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,0.49,0.49
Model 3,35,10011163,Quarter Outer Skin RH Removal Refit And Paint - Painting-CN Only,Paint Work,0.9,0.9
Model 3,35,10011164,Quarter Outer Skin RH Removal Refit And Paint - Polishing-CN Only,Paint Work,0.6,0.6
Model 3,35,10011165,Trunk Replacement And Paint-CN Only,Paint Work,3.93,3.93
Model 3,35,10011166,Trunk Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,1.29,1.29
Model 3,35,10011167,Trunk Replacement And Paint - Sealer Spary-CN Only,Refinish,0.67,0.67
Model 3,35,10011168,Trunk Replacement And Paint - Sealer Sanding-CN Only,Refinish,0.65,0.65
Model 3,35,10011169,Trunk Replacement And Paint - Painting-CN Only,Paint Work,0.77,0.77
Model 3,35,10011170,Trunk Replacement And Paint - Polishing-CN Only,Paint Work,0.55,0.55
Model 3,35,10011171,Trunk Removal Refit And Paint-CN Only,Paint Work,3.8,3.8
Model 3,35,10011172,Trunk Removal Refit And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Install,1.08,1.08
Model 3,35,10011173,Trunk Removal Refit And Paint - Sealer Spary-CN Only,Refinish,0.58,0.58
Model 3,35,10011174,Trunk Removal Refit And Paint - Sealer Sanding-CN Only,Refinish,0.57,0.57
Model 3,35,10011175,Trunk Removal Refit And Paint - Painting-CN Only,Paint Work,0.94,0.94
Model 3,35,10011176,Trunk Removal Refit And Paint - Polishing-CN Only,Paint Work,0.63,0.63
Model 3,35,10011177,Fascia Rear Upper Replacement And Paint-CN Only,Paint Work,2.86,2.86
Model 3,35,10011178,Fascia Rear Upper Replacement And Paint - Mechanical (Incl. Disassembly & Adjustment)-CN Only,Remove and Replace,0.66,0.66
Model 3,35,10011179,Fascia Rear Upper Replacement And Paint - Sealer Spary-CN Only,Refinish,0.56,0.56
Model 3,35,10011180,Fascia Rear Upper Replacement And Paint - Sealer Sanding-CN Only,Refinish,0.54,0.54
Model 3,35,10011181,Fascia Rear Upper Replacement And Paint - Painting-CN Only,Paint Work,0.66,0.66
Model 3,35,10011182,Fascia Rear Upper Replacement And Paint - Polishing-CN Only,Paint Work,0.44,0.44
Model 3,35,10011183,Fascia Rear Upper Removal Refit And Paint-CN Only,Paint Work,2.78,2.78
